,HHGG age,obtained
1,17.0,Bought it in a bundle
2,18.0,Given to me as a gift
3,18.0,Bought it for myself
4,12.0,Bought it for myself
5,29.0,Bought it for myself
6,12.0,School
7,12.0,Borrowed from Family
8,16.0,Bought it for myself
9,13.0,Given to me as a gift
10,11.0,Borrowed from Family
11,10.0,Given to me as a gift
12,15.5,Library
13,18.0,Bought it for myself
14,19.0,Bought it for myself
15,13.5,Bought it for myself
16,11.0,Given to me as a gift
17,16.0,Bought it for myself
18,14.0,Bought it for myself
19,13.0,Bought it for myself
20,16.0,Bought it for myself
21,14.0,Library
22,13.0,Bought it for myself
23,15.0,Borrowed from Family
24,25.0,Bought it for myself
25,13.0,Bought it for myself
26,23.0,Bought it for myself
27,15.0,Library
28,16.0,Bought it for myself
29,13.0,Given to me as a gift
30,9.0,Given to me as a gift
31,15.0,Borrowed from Family
32,14.0,Bought it for myself
33,16.0,Borrowed from Family
34,14.0,Given to me as a gift
35,16.0,Given to me as a gift
36,15.0,Bought it for myself
37,,Library
38,24.0,Bought it for myself
39,14.0,Bought it for myself
40,18.0,Bought it for myself
41,27.0,Bought it for myself
42,,Given to me as a gift
43,14.0,Doesn't Remember
44,16.0,Borrowed from friends
45,17.0,Given to me as a gift
46,16.0,Library
47,16.0,Bought it for myself
48,11.0,Bought it for myself
49,12.5,Bought it for myself
50,18.0,Bought it for myself
51,19.0,Borrowed from Family
52,16.0,Bought it for myself
53,10.0,Borrowed from Family
54,13.0,Borrowed from friends
55,15.0,Given to me as a gift
56,14.0,Bought it for myself
57,25.0,Bought it for myself
58,12.0,Borrowed from Family
59,12.0,Library
60,16.0,Bought it for myself
61,8.0,Borrowed from Family
62,11.0,Library
63,18.0,Borrowed from friends
64,26.0,Borrowed from Friends or Family
65,19.0,Bought it for myself
66,14.0,Bought it for myself
67,22.0,Bought it for myself
68,12.0,Library
69,25.0,Given to me as a gift
70,14.0,Borrowed from Family
71,22.0,Bought it for myself
72,27.0,Bought it for myself
73,17.0,Bought it for myself
74,14.0,Given to me as a gift
75,15.0,Given to me as a gift
76,16.0,Given to me as a gift
77,13.0,Library
78,13.0,Given to me as a gift
79,23.0,Given to me as a gift
80,16.0,Library
81,10.0,Given to me as a gift
82,24.0,Bought it for myself
83,18.0,Bought it for myself
84,19.0,Given to me as a gift
85,13.0,Bought it for myself
86,22.0,Given to me as a gift
87,28.0,Bought it for myself
88,18.0,Bought it for myself
89,16.0,Bought it for myself
90,25.0,Bought it for myself
91,14.0,Given to me as a gift
92,14.0,Given to me as a gift
93,16.0,Borrowed from friends
94,18.0,Bought it for myself
95,17.0,Online Platform
96,12.0,Given to me as a gift
97,20.0,Bought it for myself
98,12.0,Borrowed from Family
99,17.0,Borrowed from friends
100,19.0,Bought it for myself
101,16.0,Bought it for myself
102,16.0,Bought it for myself
103,23.0,Bought it for myself
104,19.0,Given to me as a gift
105,16.0,Bought it for myself
106,14.0,Borrowed from Family
107,24.0,Given to me as a gift
108,9.0,Borrowed from Family
109,12.0,Given to me as a gift
110,17.0,Library
111,19.0,Bought it for myself
112,16.0,Bought it for myself
113,8.0,Given to me as a gift
114,25.0,Borrowed from friends
115,14.0,Bought it for myself
116,20.0,Bought it for myself
117,28.0,Borrowed from Family
118,16.0,Borrowed from friends
119,14.0,Library
120,14.0,Library
121,19.0,Bought it for myself
122,21.0,Borrowed from friends
123,21.0,Given to me as a gift
124,16.0,Bought it for myself
125,23.0,Bought it for myself
126,25.0,Bought it for myself
127,18.0,Borrowed from friends
128,12.0,Bought it for myself
129,20.0,Bought it for myself
130,19.0,Library
131,17.0,Bought it for myself
132,25.0,Bought it for myself
133,18.0,Bought it for myself
134,19.0,Bought it for myself
