,influence1,influence2,influence3,influence4
1,,Unsure or not much,enriched life or general positive influence,
2,,,enriched life or general positive influence,
3,big influence,provided comfort in hard times,appreciate the comedy or absurdity of life,
4,big influence,entered fandom,,
5,,provided comfort in hard times,,
6,,,influence on personality,
7,References,entered fandom,,
8,,Unsure or not much,,
9,,changed perspective,,
10,,,,
11,,,appreciate the comedy or absurdity of life,
12,,,,
13,,changed perspective,,
14,,,,
15,42,,,
16,Inspired new interests,Atheism,appreciate the comedy or absurdity of life,
17,42,,,
18,carries a towel,,influence on personality,
19,Inspired new interests,,,
20,,changed perspective,appreciate the comedy or absurdity of life,
21,Inspired new interests,,,
22,,changed perspective,,
23,,,influence on personality,
24,,,,influences career
25,Don't panic,,,
26,,,,
27,,changed perspective,,
28,,changed perspective,,
29,,,influence on personality,
30,,changed perspective,,
31,Inspired new interests,,,
32,,,,
33,,,,
34,,don't take anything to seriously,,
35,,changed perspective,appreciate the comedy or absurdity of life,
36,References,,,
37,Don't panic,,appreciate the comedy or absurdity of life,
38,Inspired new interests,changed perspective,appreciate the comedy or absurdity of life,
39,,,appreciate the comedy or absurdity of life,
40,Don't panic,,,
41,Don't panic,,,
42,,,influence on personality,
43,,changed perspective,,
44,,don't take anything to seriously,,
45,,,,
46,,changed perspective,,
47,Don't panic,,,
48,,don't take anything to seriously,,
49,,,,
50,References,,,
51,Inspired new interests,,,
52,,,,
53,,changed perspective,,
54,,,enriched life or general positive influence,
55,,,,
56,Inspired new interests,,,
57,Inspired new interests,,,
58,References,,,
59,Inspired new interests,,,
60,,changed perspective,,
61,,provided comfort in hard times,enriched life or general positive influence,
62,42,changed perspective,,
63,Inspired new interests,,,
64,,changed perspective,,
65,,,,influences career
66,,provided comfort in hard times,,
67,,,influence on personality,
68,,,,
69,,,influence on personality,
70,References,,,
71,42,,,
72,,don't take anything to seriously,,
73,Don't panic,,,
74,References,changed perspective,,
75,Inspired new interests,,,
76,References,,,
77,,changed perspective,,
78,42,,,
79,,,appreciate the comedy or absurdity of life,
80,References,feeling of community,,
81,,,,
82,Inspired new interests,,,
83,,,,
84,,feeling of community,,
85,,provided comfort in hard times,appreciate the comedy or absurdity of life,
86,,don't take anything to seriously,appreciate the comedy or absurdity of life,
87,,don't take anything to seriously,,
88,big influence,don't take anything to seriously,,
89,Inspired new interests,don't take anything to seriously,appreciate the comedy or absurdity of life,
90,big influence,,enriched life or general positive influence,
91,,Unsure or not much,,
92,Inspired new interests,Atheism,,
93,References,,appreciate the comedy or absurdity of life,
94,Don't panic,changed perspective,,
95,carries a towel,,,
96,,provided comfort in hard times,influence on personality,
97,,,,
98,,Unsure or not much,,
99,Don't panic,,,
100,Inspired new interests,,,
101,carries a towel,,influence on personality,
102,Don't panic,,,
103,,changed perspective,influence on personality,
104,,,,
105,Don't panic,,,influences career
106,carries a towel,Unsure or not much,,
107,Inspired new interests,,,
108,,,,
109,,,,
110,,,,influenced language
111,Don't panic,,,
112,,feeling of community,,
113,,,,
114,,,enriched life or general positive influence,
115,,,,influenced language
116,,changed perspective,,
117,,don't take anything to seriously,appreciate the comedy or absurdity of life,
118,,feeling of community,,
119,,,,
120,,,enriched life or general positive influence,
121,Don't panic,don't take anything to seriously,,
122,,,appreciate the comedy or absurdity of life,
123,Inspired new interests,,,
124,carries a towel,,,
125,References,Unsure or not much,,
126,carries a towel,,,
127,References,feeling of community,,
128,References,,,
129,Inspired new interests,,,
130,Inspired new interests,,,
131,42,,,
132,big influence,changed perspective,,influences career
133,,changed perspective,,
134,Inspired new interests,Atheism,,
135,Inspired new interests,,,
136,,changed perspective,,
137,big influence,changed perspective,,
138,Inspired new interests,entered fandom,,influences career
139,,Unsure or not much,,
140,,changed perspective,appreciate the comedy or absurdity of life,
141,,changed perspective,appreciate the comedy or absurdity of life,
142,,,,
143,,changed perspective,,
144,,feeling of community,,
145,Inspired new interests,,,
146,big influence,,,
147,,Unsure or not much,,
148,big influence,changed perspective,,
149,,entered fandom,enriched life or general positive influence,
150,42,,,
151,,provided comfort in hard times,appreciate the comedy or absurdity of life,
152,,,,
153,Don't panic,,,Dune
154,Inspired new interests,entered fandom,,
155,,,,
156,,,,
157,References,,,
158,References,,,
159,,,enriched life or general positive influence,
160,,changed perspective,,
161,,,influence on personality,
162,Inspired new interests,changed perspective,enriched life or general positive influence,
163,,changed perspective,,
164,Inspired new interests,feeling of community,,
165,,,,
166,big influence,Atheism,,influences career
167,,changed perspective,appreciate the comedy or absurdity of life,
168,Inspired new interests,,,
169,,,enriched life or general positive influence,
170,Inspired new interests,changed perspective,,
171,carries a towel,,,
172,Inspired new interests,feeling of community,,
173,References,entered fandom,,influences career
174,,,enriched life or general positive influence,
175,,,,
176,References,,,influences career
177,Don't panic,,,
178,Inspired new interests,,,
179,References,tattoo,appreciate the comedy or absurdity of life,
180,,changed perspective,,
181,Don't panic,don't take anything to seriously,,
182,,Unsure or not much,,
183,big influence,changed perspective,,
184,,provided comfort in hard times,appreciate the comedy or absurdity of life,
185,References,Unsure or not much,,
186,,,,
187,Inspired new interests,,,
188,42,changed perspective,,
189,Inspired new interests,,,influences career
190,Inspired new interests,,influence on personality,
191,Don't panic,provided comfort in hard times,appreciate the comedy or absurdity of life,
192,,changed perspective,appreciate the comedy or absurdity of life,
193,References,changed perspective,,
194,Inspired new interests,,,
195,,changed perspective,appreciate the comedy or absurdity of life,
196,Don't panic,provided comfort in hard times,,
197,,feeling of community,,influences career
198,,provided comfort in hard times,appreciate the comedy or absurdity of life,
199,,changed perspective,,
200,,,appreciate the comedy or absurdity of life,
201,Inspired new interests,,appreciate the comedy or absurdity of life,
202,,changed perspective,influence on personality,
203,,,,
204,Inspired new interests,,,
205,,Atheism,influence on personality,
206,Inspired new interests,,influence on personality,
207,Inspired new interests,,,
208,,,influence on personality,
209,References,,,
210,,changed perspective,,
211,carries a towel,,,
212,42,changed perspective,,
213,,entered fandom,,
214,,provided comfort in hard times,,
215,References,,,
216,,,,
217,,changed perspective,influence on personality,
218,,Unsure or not much,,
219,,changed perspective,,
220,,,influence on personality,
221,,,influence on personality,
222,References,,influence on personality,
223,Inspired new interests,provided comfort in hard times,,
224,References,feeling of community,,
225,,Unsure or not much,,
226,References,provided comfort in hard times,,
227,Inspired new interests,,,
228,,feeling of community,influence on personality,
229,,Unsure or not much,,
230,,,,
231,big influence,Unsure or not much,,
232,Inspired new interests,,,
233,,,influence on personality,
234,Inspired new interests,,,
235,Inspired new interests,,,influences career
236,Inspired new interests,,,
237,,changed perspective,,
238,,changed perspective,appreciate the comedy or absurdity of life,
239,References,,,
240,,changed perspective,,
241,42,,,
242,,,influence on personality,
243,42,,influence on personality,
244,,provided comfort in hard times,,influences career
245,,changed perspective,,
246,,changed perspective,,
247,carries a towel,,,
248,Inspired new interests,,,
249,,,influence on personality,
250,Inspired new interests,,,
251,,,enriched life or general positive influence,
252,Inspired new interests,,,
253,,feeling of community,,
254,,Unsure or not much,,
255,Inspired new interests,changed perspective,enriched life or general positive influence,
256,big influence,changed perspective,influence on personality,
257,,,,
258,Don't panic,tattoo,,
259,References,,influence on personality,
260,,,,
261,,,influence on personality,influences career
262,,Atheism,appreciate the comedy or absurdity of life,
263,Inspired new interests,feeling of community,,
264,,,enriched life or general positive influence,
265,,don't take anything to seriously,appreciate the comedy or absurdity of life,
266,Inspired new interests,don't take anything to seriously,influence on personality,
267,Don't panic,feeling of community,,
268,Inspired new interests,,influence on personality,
269,42,,,
270,Don't panic,tattoo,,
271,Inspired new interests,provided comfort in hard times,,
272,,changed perspective,appreciate the comedy or absurdity of life,
273,,changed perspective,,
274,Inspired new interests,,,
275,carries a towel,,,
276,,Unsure or not much,,
277,big influence,,,influences career
278,,changed perspective,influence on personality,
279,,,influence on personality,
280,References,,,
281,,,appreciate the comedy or absurdity of life,
282,Inspired new interests,changed perspective,influence on personality,
283,,changed perspective,,
284,,,influence on personality,
285,big influence,provided comfort in hard times,,
286,Don't panic,,,
287,,,,influences career
288,,,enriched life or general positive influence,
289,,Unsure or not much,,
290,42,,,
291,,entered fandom,,
292,Inspired new interests,,appreciate the comedy or absurdity of life,
293,,,,
294,,,influence on personality,
295,carries a towel,entered fandom,,
296,42,Unsure or not much,,
297,,Unsure or not much,,
298,,,enriched life or general positive influence,influences career
299,References,don't take anything to seriously,,
300,,Atheism,appreciate the comedy or absurdity of life,
301,Inspired new interests,,,
302,Don't panic,provided comfort in hard times,appreciate the comedy or absurdity of life,
303,References,,,
304,Inspired new interests,,,
305,,,influence on personality,
306,,,,
307,Inspired new interests,,,
308,References,Unsure or not much,,
309,References,,,
310,,,influence on personality,
311,References,,,
312,Inspired new interests,,influence on personality,
313,,,enriched life or general positive influence,
314,big influence,,influence on personality,
315,,,influence on personality,
316,carries a towel,,,
317,,changed perspective,appreciate the comedy or absurdity of life,
318,,provided comfort in hard times,influence on personality,
319,Inspired new interests,,appreciate the comedy or absurdity of life,
320,big influence,,,
321,big influence,,,influences career
322,References,entered fandom,,
323,,changed perspective,appreciate the comedy or absurdity of life,
324,Inspired new interests,changed perspective,appreciate the comedy or absurdity of life,
325,42,,,
326,References,Unsure or not much,,
327,,tattoo,,
328,,,influence on personality,
329,,,,
330,Inspired new interests,,,
331,Inspired new interests,,,
332,,Unsure or not much,,
333,carries a towel,,,
334,,tattoo,,
335,,changed perspective,appreciate the comedy or absurdity of life,
336,,provided comfort in hard times,enriched life or general positive influence,
337,,,,influences career
338,,changed perspective,,
339,Don't panic,provided comfort in hard times,appreciate the comedy or absurdity of life,
340,Inspired new interests,,,
341,,don't take anything to seriously,,
342,big influence,,,
343,References,,,
344,,don't take anything to seriously,appreciate the comedy or absurdity of life,
345,,entered fandom,,influences career
346,References,Unsure or not much,,
347,,changed perspective,appreciate the comedy or absurdity of life,
348,Inspired new interests,,,
349,,,appreciate the comedy or absurdity of life,
350,Don't panic,,,
351,,changed perspective,influence on personality,
352,References,,,
353,,provided comfort in hard times,,
354,Inspired new interests,,,influences career
355,Don't panic,,appreciate the comedy or absurdity of life,
356,,,influence on personality,
357,Don't panic,changed perspective,,
358,Don't panic,don't take anything to seriously,,
359,Inspired new interests,,influence on personality,
360,,feeling of community,influence on personality,
361,Inspired new interests,,,
362,42,tattoo,influence on personality,
363,,provided comfort in hard times,,
364,References,provided comfort in hard times,,
365,Don't panic,,,
366,Don't panic,don't take anything to seriously,appreciate the comedy or absurdity of life,
367,,changed perspective,,
368,References,feeling of community,,
369,,changed perspective,influence on personality,
370,,changed perspective,,
371,,feeling of community,influence on personality,influences career
372,,changed perspective,appreciate the comedy or absurdity of life,
